"","directorio","secuencia_p","orden","p3271","p6040","p6050","p6090","p6100","p3042","p3042s1","p3043","clase","mes","p6240","pet","p6426","p6500","p6510","p6510s1","p6510s2","p6590","p6590s1","p6600","p6600s1","p6610","p6610s1","p6620","p6620s1","p6585s1","p6585s1a1","p6585s1a2","p6585s2","p6585s2a1","p6585s2a2","p6585s3","p6585s3a1","p6585s3a2","p6585s4","p6585s4a1","p6585s4a2","p6545","p6545s1","p6545s2","p6580","p6580s1","p6580s2","p6630s1","p6630s1a1","p6630s2","p6630s2a1","p6630s3","p6630s3a1","p6630s4","p6630s4a1","p6630s6","p6630s6a1","p6750","p3073","p550","p6800","p6920","p7040","p7045","p7050","p7070","p7090","p7110","p7120","p7140s1","p7140s2","p7150","p7160","p6430","oc","p7350","p7422","p7422s1","des","fft","p7500s1","p7500s1a1","p7500s3","p7500s3a1","p7510s1","p7510s1a1","p7510s2","p7510s2a1","p7510s5","p7510s5a1","p7510s6","p7510s6a1","p7510s7","p7510s7a1","p7495","p7500s2","p7500s2a1","p7505","p7510s3","p7510s3a1","cclasnr2","cclasnr3","cclasnr4","cclasnr5","cclasnr6","cclasnr7","cclasnr8","cclasnr11","impa","isa","ie","imdi","iof1","iof2","iof3h","iof3i","iof6","impaes","isaes","iees","imdies","iof1es","iof3hes","iof6es","iof2es","iof3ies","ingtotob","ingtotes","ingtot","fex_c","dominio","ciudad_sinam","dpto","fex_dpto"
"11",8087716,1,2,2,56,2,1,1,10,10,7,1,1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,0,NA,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,42.745360427,"BARRANQUILLA","BARRANQUILLA","Atlántico",42.7453604265722
"12",8087717,1,5,2,89,5,1,1,3,5,NA,1,1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,NA,1,2,0,2,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,1,2847000,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,2847000,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2847000,NA,2847000,103.75496596,"BARRANQUILLA","BARRANQUILLA","Atlántico",103.754965962436
"13",8087717,1,3,1,24,3,1,1,10,10,7,1,1,1,1,24,3260000,2,0,NA,2,0,2,0,2,0,2,0,2,0,NA,1,0,1,2,0,NA,2,0,NA,2,0,NA,1,0,1,1,3000000,2,0,2,0,2,0,2,0,NA,1,NA,48,1,2,NA,NA,0,2,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,0,NA,0,2,0,2,0,2,0,1,280000,2,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,3510000,0,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3510000,NA,3510000,103.75496596,"BARRANQUILLA","BARRANQUILLA","Atlántico",103.754965962436
"14",8087717,1,1,1,52,1,1,1,9,6,6,1,1,4,1,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1200000,1,NA,48,2,2,NA,NA,0,2,NA,NA,1,1,1,1,4,1,NA,NA,NA,NA,NA,NA,0,NA,0,2,0,1,2000000,2,0,2,0,2,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1200000,0,NA,NA,0,NA,166666.66667,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1366666.6667,NA,1366666.6667,103.75496596,"BARRANQUILLA","BARRANQUILLA","Atlántico",103.754965962436
"15",8087717,1,4,1,21,3,1,1,10,6,2,1,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,NA,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,103.75496596,"BARRANQUILLA","BARRANQUILLA","Atlántico",103.754965962436
"16",8087717,1,2,2,57,2,1,1,10,10,7,1,1,1,1,252,1465000,2,0,NA,2,0,2,0,2,0,2,0,2,0,NA,1,0,1,2,0,NA,2,0,NA,2,0,NA,2,0,NA,1,1300000,2,0,2,0,2,0,2,0,NA,1,NA,48,1,1,25,4,2500000,2,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,0,NA,0,2,0,2,0,2,0,1,2500000,2,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1573333.3333,2500000,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4073333.3333,NA,4073333.3333,103.75496596,"BARRANQUILLA","BARRANQUILLA","Atlántico",103.754965962436
"17",8087718,1,2,1,56,2,1,3,3,3,NA,1,1,1,1,24,1200000,2,0,NA,2,0,2,0,2,0,2,0,2,0,NA,2,0,NA,2,0,NA,2,0,NA,2,0,NA,2,0,NA,2,0,2,0,2,0,2,0,2,0,NA,1,NA,48,2,2,NA,NA,0,2,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1200000,0,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1200000,NA,1200000,51.94748663,"BARRANQUILLA","BARRANQUILLA","Atlántico",51.9474866295149
"18",8087718,1,1,2,62,1,1,3,3,5,NA,1,1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,0,NA,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,51.94748663,"BARRANQUILLA","BARRANQUILLA","Atlántico",51.9474866295149
"19",8087719,1,3,2,65,4,1,3,4,2,NA,1,1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,NA,1,NA,0,NA,0,1,7500000,2,0,2,0,2,0,2,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,625000,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,625000,NA,625000,64.95913449,"BARRANQUILLA","BARRANQUILLA","Atlántico",64.9591344899101
"20",8087719,1,4,2,76,9,1,1,3,5,NA,1,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,NA,1,2,0,2,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,1,1320000,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,1320000,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1320000,NA,1320000,64.95913449,"BARRANQUILLA","BARRANQUILLA","Atlántico",64.9591344899101
